file,app,camera,blur,share,iteration,condition,name,avg_power_W,total_energy_J,total_time_s,EDP_Js,n_samples_power
results\zoom_noshare_11.csv,zoom,,,off,11,zoom_noshare,zoom_noshare_11.csv,5.74848634032378,169.70436096191406,29.529000000000003,5011.200074844361,148
results\zoom_noshare_12.csv,zoom,,,off,12,zoom_noshare,zoom_noshare_12.csv,5.433772009059653,160.20518493652344,29.499000000000002,4725.8927504425055,148
results\zoom_noshare_13.csv,zoom,,,off,13,zoom_noshare,zoom_noshare_13.csv,5.087646278602961,149.0237274169922,29.298000000000002,4366.097165863037,147
results\zoom_noshare_14.csv,zoom,,,off,14,zoom_noshare,zoom_noshare_14.csv,5.31315804946681,155.55783081054688,29.284,4555.355517456054,147
results\zoom_noshare_15.csv,zoom,,,off,15,zoom_noshare,zoom_noshare_15.csv,6.956190319008738,209.2425994873047,30.11,6300.294670562744,151
results\zoom_noshare_16.csv,zoom,,,off,16,zoom_noshare,zoom_noshare_16.csv,6.369098953734361,187.63156127929688,29.487000000000002,5532.6918474426275,148
results\zoom_noshare_17.csv,zoom,,,off,17,zoom_noshare,zoom_noshare_17.csv,5.415118113782483,162.8192596435547,30.106,4901.836630828858,151
results\zoom_noshare_18.csv,zoom,,,off,18,zoom_noshare,zoom_noshare_18.csv,5.930124018000191,177.10800170898347,29.903,5296.060575103732,150
results\zoom_noshare_19.csv,zoom,,,off,19,zoom_noshare,zoom_noshare_19.csv,4.945697087766525,146.81915283203125,29.708000000000002,4361.703392333985,149
results\zoom_noshare_2.csv,zoom,,,off,2,zoom_noshare,zoom_noshare_2.csv,3.005431589842289,89.94485473632812,29.932000000000002,2692.2293919677736,150
results\zoom_noshare_20.csv,zoom,,,off,20,zoom_noshare,zoom_noshare_20.csv,5.47645490197773,163.42446899414062,29.882,4883.44998248291,150
results\zoom_noshare_21.csv,zoom,,,off,21,zoom_noshare,zoom_noshare_21.csv,5.968927308353686,177.18336486816406,29.72,5265.889603881836,149
results\zoom_noshare_22.csv,zoom,,,off,22,zoom_noshare,zoom_noshare_22.csv,6.178542293005254,180.7400970458948,29.294000000000004,5294.600402862443,147
results\zoom_noshare_23.csv,zoom,,,off,23,zoom_noshare,zoom_noshare_23.csv,2.547904744503147,75.55865478515625,29.688000000000002,2243.185343261719,149
results\zoom_noshare_24.csv,zoom,,,off,24,zoom_noshare,zoom_noshare_24.csv,3.382000794096843,100.92239379882812,29.878999999999998,3015.4602043151854,150
results\zoom_noshare_25.csv,zoom,,,off,25,zoom_noshare,zoom_noshare_25.csv,7.043463234464595,81.69859313965026,29.663000000000004,2423.425368301446,150
results\zoom_noshare_26.csv,zoom,,,off,26,zoom_noshare,zoom_noshare_26.csv,6.013297737219506,75.38380432129088,29.363000000000007,2213.494646286065,148
results\zoom_noshare_27.csv,zoom,,,off,27,zoom_noshare,zoom_noshare_27.csv,3.6168976379457116,107.11167907714844,29.665000000000003,3177.467959823609,149
results\zoom_noshare_28.csv,zoom,,,off,28,zoom_noshare,zoom_noshare_28.csv,2.878175492652074,84.6755218505823,29.47,2495.3876289366603,148
results\zoom_noshare_29.csv,zoom,,,off,29,zoom_noshare,zoom_noshare_29.csv,2.5553726586455197,76.24493408202761,29.875,2277.817405700575,150
